# timestamp tx ty tz qx qy qz qw
1305031910.768370 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031910.800240 0.012299 -0.001851 -0.002522 -0.006022 0.002353 0.008852 0.999940
1305031910.835212 0.018302 0.002311 -0.007880 -0.006876 0.009005 0.014727 0.999827
1305031910.868096 0.025107 0.004556 -0.013690 -0.009087 0.016575 0.022112 0.999577
1305031910.900452 0.026701 0.008422 -0.021797 -0.009301 0.027847 0.030528 0.999103
1305031910.935216 0.020146 0.017353 -0.032597 -0.011019 0.037500 0.036237 0.998579
1305031910.968294 0.037816 0.021947 -0.035505 -0.017263 0.038694 0.040557 0.998278
1305031911.000263 0.050649 0.015274 -0.039519 -0.021489 0.047432 0.049320 0.997425
1305031911.035053 0.057746 0.024999 -0.045270 -0.017759 0.059433 0.057152 0.996437
1305031911.069889 0.073253 0.030055 -0.047161 -0.018554 0.074396 0.066874 0.994811
1305031911.100264 0.070478 0.033408 -0.055914 -0.018202 0.096989 0.077373 0.992107
1305031911.135674 0.063590 0.037325 -0.060350 -0.021532 0.114981 0.088895 0.989148
1305031911.168504 0.069463 0.039320 -0.065507 -0.027308 0.127308 0.096865 0.986744
1305031911.202390 0.071671 0.037397 -0.071309 -0.032106 0.140410 0.103767 0.984117
1305031911.235656 0.074695 0.044263 -0.077332 -0.034185 0.152025 0.110268 0.981611
1305031911.266800 0.075808 0.039325 -0.084954 -0.038969 0.164525 0.119269 0.978360
1305031911.300419 0.075840 0.044365 -0.092202 -0.039116 0.174739 0.125971 0.975739
1305031911.336301 0.076379 0.049040 -0.098224 -0.041863 0.185038 0.132148 0.972906
1305031911.368433 0.070612 0.049993 -0.103893 -0.045174 0.194113 0.138670 0.970078
1305031911.400409 0.072603 0.056127 -0.111014 -0.048486 0.197943 0.144178 0.968339
1305031911.436456 0.078262 0.053518 -0.118536 -0.055651 0.202988 0.148593 0.966240
1305031911.468324 0.081115 0.055937 -0.126100 -0.060074 0.210216 0.149115 0.964347
1305031911.500383 0.085894 0.060685 -0.136578 -0.065313 0.219566 0.149631 0.961840
1305031911.536443 0.079399 0.056766 -0.139616 -0.072071 0.233123 0.151255 0.957905
1305031911.568439 0.078601 0.063285 -0.146144 -0.076684 0.241602 0.150112 0.955623
1305031911.600460 0.081292 0.064301 -0.154764 -0.085215 0.252084 0.154183 0.951535
1305031911.636449 0.074741 0.048655 -0.155978 -0.093596 0.266317 0.162208 0.945517
1305031911.668296 0.075021 0.049186 -0.162316 -0.094750 0.275965 0.169586 0.941332
1305031911.701160 0.071628 0.042225 -0.168727 -0.096802 0.287051 0.176883 0.936453
1305031911.736331 0.069573 0.036934 -0.173259 -0.096813 0.297072 0.184501 0.931845
1305031911.768328 0.067962 0.031458 -0.177994 -0.095300 0.306235 0.191820 0.927547
1305031911.800418 0.064572 0.027992 -0.183330 -0.092999 0.313830 0.196812 0.924190
1305031911.836474 0.067058 0.026413 -0.190746 -0.089370 0.321110 0.200930 0.921156
1305031911.868459 0.067392 0.022713 -0.196570 -0.087311 0.331899 0.203134 0.917037
1305031911.900720 0.064875 0.022946 -0.202186 -0.084173 0.343480 0.203171 0.913049
1305031911.936700 0.064711 0.022737 -0.208208 -0.081556 0.357025 0.203524 0.907998
1305031911.968592 0.068213 0.024153 -0.215331 -0.079180 0.373270 0.203786 0.901594
1305031912.000841 0.066690 0.017992 -0.219459 -0.078616 0.393196 0.203911 0.893105
1305031912.036854 0.065591 0.015504 -0.221849 -0.076212 0.409202 0.200641 0.886842
1305031912.067568 0.058022 0.013592 -0.218483 -0.075140 0.423716 0.197669 0.880764
1305031912.100640 0.052766 0.011228 -0.216616 -0.072045 0.433940 0.198969 0.875738
1305031912.136557 0.049087 0.012349 -0.215448 -0.067354 0.441669 0.204509 0.870958
1305031912.168288 0.047669 0.009767 -0.213894 -0.064452 0.448356 0.216328 0.864884
1305031912.200733 0.046441 0.008141 -0.211484 -0.058679 0.453732 0.227758 0.859541
1305031912.236542 0.045472 0.007087 -0.210077 -0.054307 0.456707 0.238654 0.855286
1305031912.268595 0.043102 0.010259 -0.207367 -0.050728 0.458770 0.247771 0.851802
1305031912.300564 0.037561 0.019512 -0.202800 -0.052849 0.459059 0.257283 0.848692
1305031912.336864 0.044008 0.015647 -0.202352 -0.061511 0.457370 0.268683 0.845481
1305031912.368395 0.046964 0.014046 -0.201003 -0.066903 0.457674 0.274065 0.843176
1305031912.400496 0.051367 0.012648 -0.200772 -0.072083 0.461286 0.280637 0.838608
1305031912.435669 0.054401 0.009482 -0.198423 -0.072882 0.468863 0.287479 0.831992
1305031912.468731 0.055745 0.010371 -0.197180 -0.072536 0.476456 0.293348 0.825636
1305031912.503028 0.059230 0.004634 -0.192978 -0.071572 0.484596 0.297283 0.819553
1305031912.536720 0.058013 0.005201 -0.191694 -0.069080 0.490834 0.296643 0.816280
1305031912.568585 0.059479 0.005968 -0.189549 -0.069654 0.497695 0.295160 0.812606
1305031912.602406 0.058820 0.001830 -0.184261 -0.071099 0.504876 0.292880 0.808867
1305031912.635395 0.059168 0.000048 -0.180759 -0.071978 0.509858 0.292684 0.805729
1305031912.668655 0.059766 -0.000469 -0.180734 -0.070273 0.516132 0.294105 0.801356
1305031912.702797 0.058053 0.001630 -0.177134 -0.068262 0.525428 0.295379 0.794995
1305031912.736717 0.058456 -0.000232 -0.176690 -0.066615 0.534786 0.298987 0.787511
1305031912.768708 0.060061 -0.004567 -0.172700 -0.064696 0.541217 0.303940 0.781357
1305031912.803379 0.062117 -0.009785 -0.171061 -0.063328 0.543014 0.306516 0.779213
1305031912.836825 0.061793 -0.011737 -0.168414 -0.060423 0.542887 0.306940 0.779365
1305031912.868620 0.059025 -0.012326 -0.165215 -0.057322 0.541426 0.307887 0.780242
1305031912.902639 0.059695 -0.013836 -0.162411 -0.056395 0.537626 0.309021 0.782486
1305031912.936862 0.060361 -0.011353 -0.159584 -0.055440 0.532663 0.307408 0.786573
1305031912.968576 0.060247 -0.010004 -0.157820 -0.054443 0.528830 0.311608 0.787575
1305031913.002986 0.064366 -0.011461 -0.156203 -0.055411 0.522537 0.317060 0.789530
1305031913.036652 0.065778 -0.008005 -0.153409 -0.056857 0.518213 0.316969 0.792309
1305031913.068702 0.067250 -0.008924 -0.150692 -0.060930 0.514377 0.316123 0.794840
1305031913.102703 0.071315 -0.012883 -0.148855 -0.066892 0.507169 0.312864 0.800263
1305031913.135372 0.072982 -0.018403 -0.146614 -0.071596 0.497331 0.308791 0.807579
1305031913.168769 0.074452 -0.020999 -0.147087 -0.076754 0.483046 0.301325 0.818522
1305031913.202829 0.075443 -0.021004 -0.144572 -0.081214 0.470096 0.292118 0.828903
1305031913.236789 0.075923 -0.023944 -0.141035 -0.087204 0.456696 0.282327 0.839116
1305031913.268546 0.075950 -0.027170 -0.140001 -0.094138 0.441120 0.270510 0.850515
1305031913.302953 0.076330 -0.028534 -0.138992 -0.099191 0.424336 0.259470 0.861844
1305031913.336585 0.078323 -0.030110 -0.139506 -0.103060 0.405698 0.249988 0.873094
1305031913.368594 0.078090 -0.030507 -0.136067 -0.105176 0.390612 0.242195 0.881874
1305031913.402640 0.081235 -0.034151 -0.132981 -0.107571 0.374122 0.237086 0.890085
1305031913.436693 0.080168 -0.042547 -0.130507 -0.110931 0.354672 0.232590 0.898779
1305031913.468647 0.084820 -0.060260 -0.126015 -0.117102 0.329144 0.228499 0.908702
1305031913.502816 0.091712 -0.061318 -0.124525 -0.116411 0.297344 0.217159 0.922430
1305031913.535996 0.097550 -0.069915 -0.123572 -0.117833 0.267497 0.206907 0.933676
1305031913.566871 0.093409 -0.067729 -0.114604 -0.114593 0.243557 0.197142 0.942700
1305031913.602095 0.098809 -0.061920 -0.109278 -0.113782 0.216184 0.189320 0.951039
1305031913.635202 0.102416 -0.073226 -0.098203 -0.116646 0.191236 0.183256 0.957204
1305031913.668419 0.105502 -0.080354 -0.088904 -0.113788 0.165824 0.171680 0.964407
1305031913.703607 0.103272 -0.083808 -0.080931 -0.108790 0.141907 0.156455 0.971364
1305031913.738246 0.101844 -0.088017 -0.069756 -0.102698 0.118434 0.144781 0.976967
1305031913.771556 0.101328 -0.089273 -0.059852 -0.094109 0.095178 0.132784 0.982066
1305031913.803307 0.104789 -0.088462 -0.049949 -0.084550 0.073270 0.119806 0.986473
1305031913.836774 0.097941 -0.087941 -0.045299 -0.075698 0.055728 0.106293 0.989882
1305031913.870544 0.090823 -0.091485 -0.037411 -0.072261 0.037710 0.092479 0.992373
1305031913.902627 0.089063 -0.094605 -0.027630 -0.067853 0.017524 0.077407 0.994534
1305031913.936511 0.083782 -0.090775 -0.018452 -0.062918 0.001155 0.062058 0.996087
1305031913.971304 0.074550 -0.096063 -0.009374 -0.064530 -0.011752 0.053017 0.996437
1305031914.002936 0.066297 -0.100084 0.000674 -0.062514 -0.026936 0.040941 0.996840
1305031914.037795 0.054211 -0.099753 0.006330 -0.061859 -0.040237 0.025665 0.996943
1305031914.070277 0.042528 -0.106998 0.016036 -0.064187 -0.054095 0.013767 0.996376
1305031914.102579 0.029498 -0.107837 0.021833 -0.062387 -0.067580 0.005290 0.995747
1305031914.137985 0.017066 -0.109032 0.027278 -0.062228 -0.080400 -0.004113 0.994810
1305031914.171467 0.002507 -0.111298 0.031356 -0.064341 -0.092240 -0.012748 0.993574
1305031914.202446 -0.016941 -0.113131 0.034944 -0.066836 -0.102212 -0.018383 0.992345
1305031914.236423 -0.037280 -0.105231 0.035444 -0.068693 -0.113810 -0.024271 0.990828
1305031914.270286 -0.052714 -0.108930 0.038421 -0.080630 -0.128892 -0.027782 0.987985
1305031914.302302 -0.069225 -0.115532 0.042365 -0.090625 -0.140488 -0.028051 0.985527
1305031914.336481 -0.081260 -0.129208 0.047710 -0.095833 -0.150857 -0.025607 0.983566
1305031914.370567 -0.093116 -0.133873 0.049977 -0.092081 -0.156128 -0.021531 0.983200
1305031914.402277 -0.112088 -0.135182 0.048248 -0.085905 -0.155471 -0.019492 0.983905
1305031914.436213 -0.134847 -0.134169 0.046382 -0.080651 -0.154337 -0.017700 0.984562
1305031914.470491 -0.155929 -0.133538 0.046348 -0.076488 -0.154685 -0.015249 0.984881
1305031914.502605 -0.180299 -0.137817 0.044356 -0.075187 -0.155652 -0.010205 0.984894
1305031914.536276 -0.197588 -0.137589 0.046396 -0.071446 -0.160121 -0.004410 0.984499
1305031914.570320 -0.217086 -0.139207 0.046954 -0.069957 -0.161277 -0.000599 0.984426
1305031914.602324 -0.239030 -0.147489 0.046195 -0.069653 -0.162550 0.004831 0.984227
1305031914.636334 -0.260563 -0.153528 0.044521 -0.065945 -0.165185 0.011505 0.983988
1305031914.670233 -0.281330 -0.157529 0.039870 -0.060988 -0.169222 0.014777 0.983578
1305031914.702394 -0.295072 -0.153250 0.039357 -0.055353 -0.176630 0.017394 0.982566
1305031914.737965 -0.311864 -0.157261 0.037161 -0.056535 -0.180994 0.021240 0.981628
1305031914.770490 -0.324304 -0.165919 0.035983 -0.055360 -0.186648 0.024086 0.980570
1305031914.803598 -0.335106 -0.165357 0.034037 -0.049265 -0.188885 0.025835 0.980422
1305031914.836480 -0.349042 -0.161655 0.030817 -0.045388 -0.187677 0.028305 0.980773
1305031914.870659 -0.364876 -0.163251 0.028674 -0.045825 -0.183884 0.031990 0.981358
1305031914.903049 -0.382550 -0.164756 0.024657 -0.045707 -0.178318 0.033780 0.982330
1305031914.935751 -0.395858 -0.159515 0.023934 -0.046605 -0.173582 0.034729 0.983103
1305031914.970303 -0.418514 -0.166906 0.019747 -0.053480 -0.164269 0.037762 0.984241
1305031915.002378 -0.439542 -0.173429 0.017017 -0.056160 -0.159454 0.038877 0.984840
1305031915.038584 -0.454542 -0.172329 0.015083 -0.055720 -0.156513 0.039103 0.985327
1305031915.069337 -0.475438 -0.178074 0.011854 -0.058535 -0.151380 0.039265 0.985959
1305031915.101465 -0.492165 -0.176043 0.009480 -0.059100 -0.148926 0.043106 0.986139
1305031915.137761 -0.509922 -0.176324 0.007026 -0.063815 -0.145761 0.050458 0.985969
1305031915.169238 -0.526059 -0.177224 0.004776 -0.070797 -0.144292 0.059963 0.985176
1305031915.203193 -0.541626 -0.180479 0.004641 -0.080846 -0.140732 0.069776 0.984271
1305031915.238667 -0.558425 -0.195250 0.002672 -0.091371 -0.135343 0.077790 0.983505
1305031915.270705 -0.572657 -0.198219 -0.000048 -0.094029 -0.130486 0.085089 0.983307
1305031915.301689 -0.584909 -0.201949 -0.000881 -0.097648 -0.122865 0.090452 0.983457
1305031915.337348 -0.602948 -0.205598 -0.002611 -0.100287 -0.110261 0.095456 0.984212
1305031915.369160 -0.623246 -0.208696 -0.005275 -0.102812 -0.096733 0.101181 0.984802
1305031915.401951 -0.641889 -0.214421 -0.006393 -0.105538 -0.084291 0.107518 0.984986
1305031915.437843 -0.662851 -0.209559 -0.007575 -0.105245 -0.071049 0.115856 0.985116
1305031915.469589 -0.677324 -0.216321 -0.005132 -0.111417 -0.058874 0.130482 0.983410
1305031915.501775 -0.691809 -0.226298 -0.002783 -0.115139 -0.043973 0.144286 0.981830
1305031915.537879 -0.714610 -0.226907 -0.000906 -0.113502 -0.027440 0.152925 0.981315
1305031915.570437 -0.740272 -0.233909 0.002676 -0.116886 -0.013893 0.163419 0.979509
1305031915.604128 -0.763308 -0.241485 0.006231 -0.118456 -0.006790 0.176814 0.977067
1305031915.638759 -0.780912 -0.247422 0.009521 -0.118425 -0.006146 0.186010 0.975366
1305031915.670957 -0.795194 -0.248081 0.011851 -0.118870 -0.007616 0.191793 0.974180
1305031915.706013 -0.803492 -0.255585 0.015886 -0.123754 -0.007642 0.196661 0.972600
1305031915.738661 -0.806833 -0.259941 0.019124 -0.126251 -0.003176 0.199472 0.971731
1305031915.770528 -0.814785 -0.269396 0.022941 -0.128428 0.011767 0.201625 0.970935
1305031915.804156 -0.834523 -0.271452 0.022011 -0.127918 0.031353 0.203809 0.970111
1305031915.838965 -0.849466 -0.280588 0.027522 -0.134437 0.048571 0.210363 0.967117
1305031915.871036 -0.863058 -0.295586 0.034691 -0.138103 0.066131 0.218615 0.963723
1305031915.904151 -0.878396 -0.304483 0.040343 -0.138546 0.082405 0.225515 0.960811
1305031915.939023 -0.895750 -0.315805 0.048020 -0.137577 0.097728 0.231708 0.958036
1305031915.971018 -0.916447 -0.318183 0.054449 -0.135944 0.108869 0.235477 0.956147
1305031916.004442 -0.927772 -0.332704 0.064973 -0.138987 0.116331 0.242744 0.953008
1305031916.038650 -0.944873 -0.336236 0.070674 -0.134134 0.124697 0.250450 0.950649
1305031916.070456 -0.974360 -0.322933 0.077738 -0.134579 0.132068 0.257671 0.947656
1305031916.104509 -0.977829 -0.323025 0.083392 -0.152133 0.130399 0.270784 0.941556
1305031916.138432 -0.986912 -0.328098 0.090380 -0.176438 0.134192 0.279020 0.934350
1305031916.170560 -0.978866 -0.341696 0.105486 -0.206078 0.137316 0.289093 0.924717
1305031916.207234 -0.977688 -0.358255 0.122858 -0.226090 0.150247 0.293907 0.916476
1305031916.238934 -0.999159 -0.360539 0.136491 -0.238822 0.164933 0.294809 0.910411
1305031916.270605 -1.010121 -0.365987 0.152998 -0.254750 0.172349 0.303993 0.901657
1305031916.306550 -1.017638 -0.369352 0.167746 -0.267854 0.177030 0.314050 0.893469
1305031916.339139 -1.031714 -0.368922 0.181330 -0.280816 0.179060 0.324250 0.885405
1305031916.370532 -1.043111 -0.373662 0.199935 -0.296175 0.177246 0.338992 0.875185
1305031916.406820 -1.049107 -0.371825 0.214102 -0.307175 0.169986 0.351706 0.867785
1305031916.439164 -1.053079 -0.367786 0.221200 -0.318399 0.160597 0.357747 0.863046
1305031916.470461 -1.058677 -0.364127 0.227725 -0.331220 0.153750 0.359955 0.858537
1305031916.506047 -1.060212 -0.360846 0.233118 -0.344971 0.150865 0.359710 0.853723
1305031916.537841 -1.070599 -0.358261 0.239015 -0.361934 0.153077 0.357187 0.847342
1305031916.569901 -1.073211 -0.357820 0.248573 -0.380514 0.156252 0.356275 0.838965
1305031916.606013 -1.075477 -0.359563 0.263947 -0.395145 0.163020 0.353442 0.832084
1305031916.638174 -1.090098 -0.362941 0.269845 -0.407829 0.170124 0.349506 0.826183
1305031916.669827 -1.100935 -0.367921 0.281196 -0.420138 0.175324 0.349049 0.819091
1305031916.706117 -1.111005 -0.375193 0.290998 -0.431641 0.178580 0.350396 0.811799
1305031916.737722 -1.117598 -0.378114 0.299721 -0.442821 0.182049 0.350805 0.804800
1305031916.769780 -1.131457 -0.385272 0.306146 -0.454058 0.184171 0.347566 0.799443
1305031916.806036 -1.141652 -0.391653 0.316890 -0.467537 0.184266 0.343343 0.793455
1305031916.837840 -1.151352 -0.396269 0.323593 -0.478961 0.185616 0.340963 0.787329
1305031916.869841 -1.163039 -0.400036 0.326404 -0.488782 0.187778 0.338156 0.781973
